
---------- Begin Simulation Statistics ----------
simSeconds                                   0.097253                       # Number of seconds simulated (Second)
simTicks                                  97253388500                       # Number of ticks simulated (Tick)
finalTick                                 97253388500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1507.49                       # Real time elapsed on the host (Second)
hostTickRate                                 64513575                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1042564                       # Number of bytes of host memory used (Byte)
simInsts                                    311384731                       # Number of instructions simulated (Count)
simOps                                      588855995                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   206559                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     390621                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        194506778                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.624651                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.600894                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       643527197                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   400769                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      635581487                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 100301                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             55071965                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          46495462                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              388594                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           194247128                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.272025                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.303490                       # Number of insts issued each cycle (Count)
system.cpu.fetch.nisnDist::5                 10399207      5.35%     63.82% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                  7447020      3.83%     67.66% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                  9236517      4.76%     72.41% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                 53589305     27.59%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total            194247128                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts             355961440                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             1.830072                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches           82952943                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.426478                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles     63030571                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu.icache.demandHits::cpu.inst       58459895                       # number of demand (read+write) hits (Count)
system.cpu.icache.demandHits::total          58459895                       # number of demand (read+write) hits (Count)
system.cpu.icache.overallHits::cpu.inst      58459895                       # number of overall hits (Count)
system.cpu.icache.overallHits::total         58459895                       # number of overall hits (Count)
system.cpu.icache.demandMisses::cpu.inst       151188                       # number of demand (read+write) misses (Count)
system.cpu.icache.demandMisses::total          151188                       # number of demand (read+write) misses (Count)
system.cpu.icache.overallMisses::cpu.inst       151188                       # number of overall misses (Count)
system.cpu.icache.overallMisses::total         151188                       # number of overall misses (Count)
system.cpu.icache.demandMissLatency::cpu.inst   2037575500                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.demandMissLatency::total   2037575500                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.overallMissLatency::cpu.inst   2037575500                       # number of overall miss ticks (Tick)
system.cpu.icache.overallMissLatency::total   2037575500                       # number of overall miss ticks (Tick)
system.cpu.icache.demandAccesses::cpu.inst     58611083                       # number of demand (read+write) accesses (Count)
system.cpu.icache.demandAccesses::total      58611083                       # number of demand (read+write) accesses (Count)
system.cpu.icache.overallAccesses::cpu.inst     58611083                       # number of overall (read+write) accesses (Count)
system.cpu.icache.overallAccesses::total     58611083                       # number of overall (read+write) accesses (Count)
system.cpu.icache.demandMissRate::cpu.inst     0.002580                       # miss rate for demand accesses (Ratio)
system.cpu.icache.demandMissRate::total      0.002580                       # miss rate for demand accesses (Ratio)
system.cpu.icache.overallMissRate::cpu.inst     0.002580                       # miss rate for overall accesses (Ratio)
system.cpu.icache.overallMissRate::total     0.002580                       # miss rate for overall accesses (Ratio)
system.cpu.icache.demandAvgMissLatency::cpu.inst 13477.098050                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.demandAvgMissLatency::total 13477.098050                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::cpu.inst 13477.098050                       # average overall miss latency ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::total 13477.098050                       # average overall miss latency ((Tick/Count))
system.cpu.icache.blockedCycles::no_mshrs          584                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCauses::no_mshrs            8                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.icache.avgBlocked::no_mshrs             73                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.writebacks::writebacks       150452                       # number of writebacks (Count)
system.cpu.icache.writebacks::total            150452                       # number of writebacks (Count)
system.cpu.icache.demandMshrHits::cpu.inst          277                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.demandMshrHits::total           277                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.overallMshrHits::cpu.inst          277                       # number of overall MSHR hits (Count)
system.cpu.icache.overallMshrHits::total          277                       # number of overall MSHR hits (Count)
system.cpu.icache.demandMshrMisses::cpu.inst       150911                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.demandMshrMisses::total       150911                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.overallMshrMisses::cpu.inst       150911                       # number of overall MSHR misses (Count)
system.cpu.icache.overallMshrMisses::total       150911                       # number of overall MSHR misses (Count)
system.cpu.icache.demandMshrMissLatency::cpu.inst   1870488500                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissLatency::total   1870488500                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::cpu.inst   1870488500                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::total   1870488500                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissRate::cpu.inst     0.002575                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.demandMshrMissRate::total     0.002575                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.overallMshrMissRate::cpu.inst     0.002575                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.overallMshrMissRate::total     0.002575                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.demandAvgMshrMissLatency::cpu.inst 12394.646514                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.demandAvgMshrMissLatency::total 12394.646514                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::cpu.inst 12394.646514                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::total 12394.646514                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.replacements                 150452                       # number of replacements (Count)
system.cpu.icache.ReadReq.hits::cpu.inst     58459895                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.hits::total        58459895                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.misses::cpu.inst       151188                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.misses::total        151188                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.missLatency::cpu.inst   2037575500                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.missLatency::total   2037575500                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.accesses::cpu.inst     58611083                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.accesses::total     58611083                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.missRate::cpu.inst     0.002580                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.missRate::total     0.002580                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMissLatency::cpu.inst 13477.098050                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMissLatency::total 13477.098050                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.mshrHits::cpu.inst          277                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrHits::total          277                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrMisses::cpu.inst       150911                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMisses::total       150911                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMissLatency::cpu.inst   1870488500                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissLatency::total   1870488500                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissRate::cpu.inst     0.002575                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.mshrMissRate::total     0.002575                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMshrMissLatency::cpu.inst 12394.646514                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMshrMissLatency::total 12394.646514                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.power_state.pwrStateResidencyTicks::UNDEFINED  97253388500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.icache.tags.tagsInUse           419.663585                       # Average ticks per tags in use ((Tick/Count))
system.cpu.icache.tags.totalRefs             58610806                       # Total number of references to valid blocks. (Count)
system.cpu.icache.tags.sampledRefs             150911                       # Sample count of references to valid blocks. (Count)
system.cpu.icache.tags.avgRefs             388.379946                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.icache.tags.warmupTick               87500                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.icache.tags.occupancies::cpu.inst   419.663585                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.icache.tags.avgOccs::cpu.inst     0.819655                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.avgOccs::total        0.819655                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.occupanciesTaskId::1024          458                       # Occupied blocks per task id (Count)
system.cpu.icache.tags.ageTaskId_1024::0           38                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::4          420                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ratioOccsTaskId::1024     0.894531                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.icache.tags.tagAccesses          117373077                       # Number of tag accesses (Count)
system.cpu.icache.tags.dataAccesses         117373077                       # Number of data accesses (Count)
system.cpu.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED  97253388500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.iew.idleCycles                           0                       # Number of cycles IEW is idle (Cycle)
system.cpu.iew.squashCycles                   1207584                       # Number of cycles IEW is squashing (Cycle)
system.cpu.iew.blockCycles                    5927399                       # Number of cycles IEW is blocking (Cycle)
system.cpu.iew.unblockCycles                   317597                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.iew.dispatchedInsts              643927966                       # Number of instructions dispatched to IQ (Count)
system.cpu.iew.dispSquashedInsts                89421                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.iew.dispLoadInsts                 72331268                       # Number of dispatched load instructions (Count)
system.cpu.iew.dispStoreInsts                46552573                       # Number of dispatched store instructions (Count)
system.cpu.iew.dispNonSpecInsts                400200                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iew.iqFullEvents                    177617                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.iew.lsqFullEvents                   151702                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.iew.memOrderViolationEvents           2695                       # Number of memory order violations (Count)
system.cpu.iew.predictedTakenIncorrect         609000                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.iew.predictedNotTakenIncorrect       585444                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.iew.branchMispredicts              1194444                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iew.instsToCommit                632161641                       # Cumulative count of insts sent to commit (Count)
system.cpu.iew.writebackCount               628714607                       # Cumulative count of insts written-back (Count)
system.cpu.iew.producerInst                 446983235                       # Number of instructions producing a value (Count)
system.cpu.iew.consumerInst                 691846909                       # Number of instructions consuming a value (Count)
system.cpu.iew.wbRate                        3.232353                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.iew.wbFanout                      0.646072                       # Average fanout of values written-back ((Count/Count))
system.cpu.interrupts.clk_domain.clock           8000                       # Clock period in ticks (Tick)
system.cpu.itb_walker_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu.itb_walker_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.itb_walker_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu.itb_walker_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.itb_walker_cache.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.itb_walker_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.itb_walker_cache.replacements            0                       # number of replacements (Count)
system.cpu.itb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED  97253388500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.itb_walker_cache.tags.tagsInUse            0                       # Average ticks per tags in use ((Tick/Count))
system.cpu.itb_walker_cache.tags.totalRefs            0                       # Total number of references to valid blocks. (Count)
system.cpu.itb_walker_cache.tags.sampledRefs            0                       # Sample count of references to valid blocks. (Count)
system.cpu.itb_walker_cache.tags.avgRefs          nan                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.itb_walker_cache.tags.warmupTick            0                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.itb_walker_cache.tags.tagAccesses            0                       # Number of tag accesses (Count)
system.cpu.itb_walker_cache.tags.dataAccesses            0                       # Number of data accesses (Count)
system.cpu.itb_walker_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED  97253388500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.lsq0.forwLoads                    12528961                       # Number of loads that had data forwarded from stores (Count)
system.cpu.lsq0.squashedLoads                 9435814                       # Number of loads squashed (Count)
system.cpu.lsq0.ignoredResponses                20578                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu.lsq0.memOrderViolation                2695                       # Number of memory ordering violations (Count)
system.cpu.lsq0.squashedStores                5320265                       # Number of stores squashed (Count)
system.cpu.lsq0.rescheduledLoads               200008                       # Number of loads that were rescheduled (Count)
system.cpu.lsq0.blockedByCache                  39604                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu.lsq0.loadToUse::samples           62722522                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::mean              3.222756                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::stdev             3.757306                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::0-9               62267961     99.28%     99.28% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::10-19                59698      0.10%     99.37% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::20-29               353185      0.56%     99.93% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::30-39                 7772      0.01%     99.95% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::40-49                12601      0.02%     99.97% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::50-59                  245      0.00%     99.97% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::60-69                   94      0.00%     99.97% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::70-79                  198      0.00%     99.97% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::80-89                  123      0.00%     99.97% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::90-99                   73      0.00%     99.97% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::100-109                243      0.00%     99.97% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::110-119                372      0.00%     99.97% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::120-129                433      0.00%     99.97% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::130-139                683      0.00%     99.97% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::140-149               8159      0.01%     99.98% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::150-159               1004      0.00%     99.98% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::160-169               4903      0.01%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::170-179               1694      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::180-189                212      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::190-199               1397      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::200-209                306      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::210-219                 59      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::220-229                 30      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::230-239                 22      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::240-249                 29      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::250-259                 37      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::260-269                 44      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::270-279                 65      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::280-289                101      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::290-299                 66      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::overflows              713      0.00%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::min_value                2                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::max_value              940                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::total             62722522                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.mmu.dtb.rdAccesses                70935463                       # TLB accesses on read requests (Count)
system.cpu.mmu.dtb.wrAccesses                45280406                       # TLB accesses on write requests (Count)
system.cpu.mmu.dtb.rdMisses                      4056                       # TLB misses on read requests (Count)
system.cpu.mmu.dtb.wrMisses                      3452                       # TLB misses on write requests (Count)
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED  97253388500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.itb.rdAccesses                       0                       # TLB accesses on read requests (Count)
system.cpu.mmu.itb.wrAccesses                58611397                       # TLB accesses on write requests (Count)
system.cpu.mmu.itb.rdMisses                         0                       # TLB misses on read requests (Count)
system.cpu.mmu.itb.wrMisses                       424                       # TLB misses on write requests (Count)
system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED  97253388500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.power_state.pwrStateResidencyTicks::ON  97253388500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.rename.squashCycles                1207584                       # Number of cycles rename is squashing (Cycle)
system.cpu.rename.idleCycles                 61727367                       # Number of cycles rename is idle (Cycle)
system.cpu.rename.blockCycles                 9991970                       # Number of cycles rename is blocking (Cycle)
system.cpu.rename.serializeStallCycles            394                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu.rename.runCycles                 104527899                       # Number of cycles rename is running (Cycle)
system.cpu.rename.unblockCycles              16791914                       # Number of cycles rename is unblocking (Cycle)
system.cpu.rename.renamedInsts              651306917                       # Number of instructions processed by rename (Count)
system.cpu.rename.ROBFullEvents                135056                       # Number of times rename has blocked due to ROB full (Count)
system.cpu.rename.IQFullEvents                7733206                       # Number of times rename has blocked due to IQ full (Count)
system.cpu.rename.LQFullEvents                 107502                       # Number of times rename has blocked due to LQ full (Count)
system.cpu.rename.SQFullEvents                8012444                       # Number of times rename has blocked due to SQ full (Count)
system.cpu.rename.renamedOperands          1074519494                       # Number of destination operands rename has renamed (Count)
system.cpu.rename.lookups                  2169032992                       # Number of register rename lookups that rename has made (Count)
system.cpu.rename.intLookups                796502004                       # Number of integer rename lookups (Count)
system.cpu.rename.fpLookups                  20138313                       # Number of floating rename lookups (Count)
system.cpu.rename.committedMaps             982700429                       # Number of HB maps that are committed (Count)
system.cpu.rename.undoneMaps                 91819056                       # Number of HB maps that are undone due to squashing (Count)
system.cpu.rename.serializing                      10                       # count of serializing insts renamed (Count)
system.cpu.rename.tempSerializing                   8                       # count of temporary serializing insts renamed (Count)
system.cpu.rename.skidInsts                  25589678                       # count of insts added to the skid buffer (Count)
system.cpu.rob.reads                        787233737                       # The number of ROB reads (Count)
system.cpu.rob.writes                      1285903248                       # The number of ROB writes (Count)
system.cpu.thread_0.numInsts                311384731                       # Number of Instructions committed (Count)
system.cpu.thread_0.numOps                  588855995                       # Number of Ops committed (Count)
system.cpu.thread_0.numMemRefs                      0                       # Number of Memory References (Count)
system.cpu.workload.numSyscalls                 50217                       # Number of system calls (Count)
system.cpu_clk_domain.clock                       500                       # Clock period in ticks (Tick)
system.cpu_voltage_domain.voltage                   1                       # Voltage in Volts (Volt)
system.l2.demandHits::cpu.inst                 150086                       # number of demand (read+write) hits (Count)
system.l2.demandHits::cpu.data                 397669                       # number of demand (read+write) hits (Count)
system.l2.demandHits::total                    547755                       # number of demand (read+write) hits (Count)
system.l2.overallHits::cpu.inst                150086                       # number of overall hits (Count)
system.l2.overallHits::cpu.data                397669                       # number of overall hits (Count)
system.l2.overallHits::total                   547755                       # number of overall hits (Count)
system.l2.demandMisses::cpu.inst                  824                       # number of demand (read+write) misses (Count)
system.l2.demandMisses::cpu.data                64503                       # number of demand (read+write) misses (Count)
system.l2.demandMisses::total                   65327                       # number of demand (read+write) misses (Count)
system.l2.overallMisses::cpu.inst                 824                       # number of overall misses (Count)
system.l2.overallMisses::cpu.data               64503                       # number of overall misses (Count)
system.l2.overallMisses::total                  65327                       # number of overall misses (Count)
system.l2.demandMissLatency::cpu.inst        68181500                       # number of demand (read+write) miss ticks (Tick)
system.l2.demandMissLatency::cpu.data      5235665000                       # number of demand (read+write) miss ticks (Tick)
system.l2.demandMissLatency::total         5303846500                       # number of demand (read+write) miss ticks (Tick)
system.l2.overallMissLatency::cpu.inst       68181500                       # number of overall miss ticks (Tick)
system.l2.overallMissLatency::cpu.data     5235665000                       # number of overall miss ticks (Tick)
system.l2.overallMissLatency::total        5303846500                       # number of overall miss ticks (Tick)
system.l2.demandAccesses::cpu.inst             150910                       # number of demand (read+write) accesses (Count)
system.l2.demandAccesses::cpu.data             462172                       # number of demand (read+write) accesses (Count)
system.l2.demandAccesses::total                613082                       # number of demand (read+write) accesses (Count)
system.l2.overallAccesses::cpu.inst            150910                       # number of overall (read+write) accesses (Count)
system.l2.overallAccesses::cpu.data            462172                       # number of overall (read+write) accesses (Count)
system.l2.overallAccesses::total               613082                       # number of overall (read+write) accesses (Count)
system.l2.demandMissRate::cpu.inst           0.005460                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu.data           0.139565                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::total              0.106555                       # miss rate for demand accesses (Ratio)
system.l2.overallMissRate::cpu.inst          0.005460                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu.data          0.139565                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::total             0.106555                       # miss rate for overall accesses (Ratio)
system.l2.demandAvgMissLatency::cpu.inst 82744.538835                       # average overall miss latency in ticks ((Tick/Count))
system.l2.demandAvgMissLatency::cpu.data 81169.325458                       # average overall miss latency in ticks ((Tick/Count))
system.l2.demandAvgMissLatency::total    81189.194361                       # average overall miss latency in ticks ((Tick/Count))
system.l2.overallAvgMissLatency::cpu.inst 82744.538835                       # average overall miss latency ((Tick/Count))
system.l2.overallAvgMissLatency::cpu.data 81169.325458                       # average overall miss latency ((Tick/Count))
system.l2.overallAvgMissLatency::total   81189.194361                       # average overall miss latency ((Tick/Count))
system.l2.blockedCycles::no_mshrs                   0                       # number of cycles access was blocked (Cycle)
system.l2.blockedCycles::no_targets                 0                       # number of cycles access was blocked (Cycle)
system.l2.blockedCauses::no_mshrs                   0                       # number of times access was blocked (Count)
system.l2.blockedCauses::no_targets                 0                       # number of times access was blocked (Count)
system.l2.avgBlocked::no_mshrs                    nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2.avgBlocked::no_targets                  nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2.writebacks::writebacks                25725                       # number of writebacks (Count)
system.l2.writebacks::total                     25725                       # number of writebacks (Count)
system.l2.demandMshrHits::cpu.data                  1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::total                     1                       # number of demand (read+write) MSHR hits (Count)
system.l2.overallMshrHits::cpu.data                 1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::total                    1                       # number of overall MSHR hits (Count)
